Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
18.0,18.0,HOU,Sam Dekker,Wisconsin,5.0,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5,2015
19.0,19.0,WAS,Jerian Grant,Notre Dame,5.0,279,4998,1692,529,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5,2015
20.0,20.0,TOR,Delon Wright,Utah,10.0,548,11175,3656,1650,1636,.447,.348,.799,20.4,6.7,3.0,3.0,28.9,.124,1.9,11.1,2015
21.0,21.0,DAL,Justin Anderson,Virginia,6.0,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4,2015
22.0,22.0,CHI,Bobby Portis,Arkansas,11.0,669,15220,7964,4768,867,.478,.384,.764,22.8,11.9,7.1,1.3,34.1,.107,-0.5,5.8,2015
23.0,23.0,POR,Rondae Hollis-Jefferson,Arizona,6.0,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3,2015
24.0,24.0,CLE,Tyus Jones,Duke,11.0,697,14617,5277,1387,3045,.444,.375,.821,21.0,7.6,2.0,4.4,34.0,.112,0.5,9.3,2015
25.0,25.0,MEM,Jarell Martin,LSU,4.0,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7,2015
26.0,26.0,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,,2015
27.0,27.0,LAL,Larry Nance Jr.,Wyoming,11.0,558,12768,4248,3379,1033,.536,.350,.695,22.9,7.6,6.1,1.9,34.7,.130,1.1,10.1,2015
28.0,28.0,BOS,R.J. Hunter,Georgia State University,4.0,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0,2015
29.0,29.0,BRK,Chris McCullough,Syracuse,3.0,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1,2015
30.0,30.0,GSW,Kevon Looney,UCLA,11.0,606,10408,2997,3418,967,.572,.183,.608,17.2,4.9,5.6,1.6,37.4,.173,0.3,6.1,2015
31.0,31.0,MIN,Cedi Osman,,7.0,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3,2015
32.0,32.0,HOU,Montrezl Harrell,Louisville,8.0,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2,2015
33.0,33.0,BOS,Jordan Mickey,LSU,3.0,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3,2015
34.0,34.0,LAL,Anthony Brown,Stanford,3.0,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6,2015
35.0,35.0,PHI,Willy HernangÃ³mez,,7.0,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8,2015
36.0,36.0,MIN,Rakeem Christmas,Syracuse,2.0,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2,2015
37.0,37.0,PHI,Richaun Holmes,Bowling Green,10.0,489,9360,4164,2606,479,.605,.269,.751,19.1,8.5,5.3,1.0,30.7,.158,0.1,5.0,2015
38.0,38.0,DET,Darrun Hilliard,Villanova,3.0,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6,2015
39.0,39.0,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,,2015
40.0,40.0,MIA,Josh Richardson,Tennessee,10.0,554,15815,6381,1685,1463,.428,.363,.846,28.5,11.5,3.0,2.6,27.7,.084,-0.6,5.5,2015
41.0,41.0,BRK,Pat Connaughton,Notre Dame,11.0,605,11533,3617,2042,835,.438,.356,.771,19.1,6.0,3.4,1.4,24.8,.103,-0.5,4.4,2015
42.0,42.0,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,,2015
43.0,43.0,IND,Joe Young,Oregon,3.0,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6,2015
44.0,44.0,PHO,Andrew Harrison,Kentucky,3.0,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6,2015
45.0,45.0,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,,2015
46.0,46.0,MIL,Norman Powell,UCLA,11.0,628,15283,8437,1690,968,.471,.400,.828,24.3,13.4,2.7,1.5,33.4,.105,0.1,8.1,2015
47.0,47.0,PHI,ArtÅ«ras Gudaitis,,,,,,,,,,,,,,,,,,,2015
48.0,48.0,OKC,Dakari Johnson,Kentucky,1.0,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1,2015
49.0,49.0,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,,2015
50.0,50.0,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,,2015
51.0,51.0,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,,2015
52.0,52.0,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,,2015
53.0,53.0,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,,2015
54.0,54.0,UTA,Dani DÃ­ez,,,,,,,,,,,,,,,,,,,2015
55.0,55.0,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,,2015
56.0,56.0,NOP,Branden Dawson,Michigan State,1.0,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0,2015
57.0,57.0,DEN,Nikola RadiÄeviÄ,,,,,,,,,,,,,,,,,,,2015
58.0,58.0,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,,2015
59.0,59.0,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,,2015
60.0,60.0,PHI,Luka MitroviÄ,,,,,,,,,,,,,,,,,,,2015
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2015
1.0,1.0,PHI,Ben Simmons,LSU,7.0,383,11910,5021,2840,2754,.558,.139,.592,31.1,13.1,7.4,7.2,35.4,.143,3.0,15.0,2016
2.0,2.0,LAL,Brandon Ingram,Duke,10.0,509,16784,9948,2650,2183,.468,.360,.790,33.0,19.5,5.2,4.3,28.1,.080,0.1,8.9,2016
